year,month,2-gram,count,date
2021,5,children killed,6,2021-05-01
2021,5,humanitarian aid,17,2021-05-01
2021,6,humanitarian aid,3,2021-06-01
2021,7,humanitarian aid,2,2021-07-01
2021,8,children killed,2,2021-08-01
2021,12,humanitarian aid,2,2021-12-01
2022,4,children killed,1,2022-04-01
2022,5,humanitarian aid,2,2022-05-01
2022,6,humanitarian aid,1,2022-06-01
2022,8,children killed,7,2022-08-01
2022,8,humanitarian aid,1,2022-08-01
2022,8,israel attack,1,2022-08-01
2022,12,children killed,1,2022-12-01
2023,1,children killed,3,2023-01-01
2023,1,humanitarian aid,1,2023-01-01
2023,2,children killed,1,2023-02-01
2023,5,attacked gaza,1,2023-05-01
2023,5,children killed,3,2023-05-01
2023,6,children killed,5,2023-06-01
2023,7,attacked gaza,1,2023-07-01
2023,7,humanitarian aid,1,2023-07-01
2023,9,humanitarian aid,1,2023-09-01
2023,10,attacked gaza,2,2023-10-01
2023,10,children killed,8,2023-10-01
2023,10,humanitarian aid,111,2023-10-01
2023,10,israel attack,2,2023-10-01
2023,11,attacked gaza,1,2023-11-01
2023,11,children killed,22,2023-11-01
2023,11,humanitarian aid,95,2023-11-01
2023,11,israel attack,1,2023-11-01
2023,12,children killed,6,2023-12-01
2023,12,humanitarian aid,69,2023-12-01
2023,12,israel attack,1,2023-12-01
2024,1,children killed,1,2024-01-01
2024,1,humanitarian aid,67,2024-01-01
2024,2,children killed,4,2024-02-01
2024,2,humanitarian aid,62,2024-02-01
2024,3,attacked gaza,1,2024-03-01
2024,3,children killed,5,2024-03-01
2024,3,humanitarian aid,87,2024-03-01
2024,4,humanitarian aid,39,2024-04-01
