,Month,Topic_Label,Count
0,2023-10,"captives, hamas,release,hostages",19
1,2023-10,"gaza, people,killed,younis",25
2,2023-10,"hospital, patients,medical,hospitals",18
3,2023-10,"houthis, houthi,sea,yemen",1
4,2023-10,"iran, iranian,syria,us",20
5,2023-11,"captives, hamas,release,hostages",52
6,2023-11,"gaza, people,killed,younis",21
7,2023-11,"hospital, patients,medical,hospitals",74
8,2023-11,"houthis, houthi,sea,yemen",11
9,2023-11,"iran, iranian,syria,us",14
10,2023-12,"captives, hamas,release,hostages",17
11,2023-12,"gaza, people,killed,younis",30
12,2023-12,"hospital, patients,medical,hospitals",8
13,2023-12,"houthis, houthi,sea,yemen",27
14,2023-12,"iran, iranian,syria,us",8
15,2024-01,"captives, hamas,release,hostages",13
16,2024-01,"gaza, people,killed,younis",5
17,2024-01,"hospital, patients,medical,hospitals",7
18,2024-01,"houthis, houthi,sea,yemen",31
19,2024-01,"iran, iranian,syria,us",15
20,2024-02,"captives, hamas,release,hostages",20
21,2024-02,"gaza, people,killed,younis",5
22,2024-02,"hospital, patients,medical,hospitals",10
23,2024-02,"houthis, houthi,sea,yemen",21
24,2024-02,"iran, iranian,syria,us",13
25,2024-03,"captives, hamas,release,hostages",11
26,2024-03,"gaza, people,killed,younis",6
27,2024-03,"hospital, patients,medical,hospitals",5
28,2024-03,"houthis, houthi,sea,yemen",5
29,2024-03,"iran, iranian,syria,us",4
30,2024-04,"captives, hamas,release,hostages",8
31,2024-04,"gaza, people,killed,younis",5
32,2024-04,"hospital, patients,medical,hospitals",3
33,2024-04,"houthis, houthi,sea,yemen",1
34,2024-04,"iran, iranian,syria,us",25
