,Topic_Label,Count
0,"bank, west,israeli,palestinian",359
1,"captives, hamas,release,hostages",148
2,"hospital, patients,medical,hospitals",130
3,"iran, iranian,syria,us",104
4,"gaza, people,killed,younis",101
5,"houthis, houthi,sea,yemen",97
6,"lebanon, hezbollah,lebanese,border",90
7,"africa, genocide,south,court",72
8,"journalists, al,jazeera,dahdouh",58
9,"aqsa, mosque,compound,site",54
10,"resolution, council,un,ceasefire",52
11,"football, club,team,cup",51
12,"protesters, palestine,police,protest",42
13,"settlements, west,bank,settlement",40
14,"akleh, abu,investigation,shireen",40
15,"aid, food,trucks,gaza",36
16,"unrwa, funding,agency,refugees",35
17,"jerusalem, jarrah,sheikh,east",33
18,"updates, closed,page,live",32
19,"faculty, cornell,university,staff",30
