,Topic_Label,Count,Year
0,"bank, west,israeli,palestinian",203,2023
1,"hospital, patients,medical,hospitals",100,2023
2,"captives, hamas,release,hostages",89,2023
3,"gaza, people,killed,younis",76,2023
4,"lebanon, hezbollah,lebanese,border",50,2023
5,"iran, iranian,syria,us",46,2023
6,"houthis, houthi,sea,yemen",39,2023
7,"resolution, council,un,ceasefire",30,2023
8,"journalists, al,jazeera,dahdouh",29,2023
9,"updates, closed,page,live",28,2023
10,"football, club,team,cup",28,2023
11,"protesters, palestine,police,protest",27,2023
12,"aid, food,trucks,gaza",24,2023
13,"december, things,stand,2023",21,2023
14,"contributors, journalist,director,editor",21,2023
15,"settlements, west,bank,settlement",20,2023
16,"africa, genocide,south,court",19,2023
17,"aqsa, mosque,compound,site",19,2023
18,"church, christians,christian,christmas",18,2023
19,"china, beijing,chinese,wang",17,2023
20,"faculty, cornell,university,staff",17,2023
21,"content, media,facebook,social",17,2023
22,"updates, closed,blog,page",16,2023
23,"live, page,follow,coverage",14,2023
24,"russia, putin,moscow,russian",14,2023
25,"economy, percent,economic,gaza",13,2023
26,"erdogan, turkey,turkish,ankara",12,2023
27,"tlaib, congress,aipac,democratic",10,2023
28,"insightful, graphics,illustrated,perspectives",9,2023
29,"german, germany,berlin,anti",9,2023
30,"internet, communications,blackouts,services",9,2023
31,"presenter, guests,columnist,human",8,2023
32,"labour, starmer,party,braverman",8,2023
33,"akleh, abu,investigation,shireen",8,2023
34,"brazil, lula,foreign,brazilian",8,2023
35,"ai, technology,kill,civilians",7,2023
36,"coverage, page,live,closed",7,2023
37,"page, coverage,closed,live",7,2023
38,"prisoners, prison,prisoner,daqqa",7,2023
39,"march, jerusalem,police,city",6,2023
40,"journalists, abc,media,coverage",6,2023
41,"gaza, air,least,rockets",6,2023
42,"aid, food,famine,gaza",6,2023
43,"masafer, yatta,demolition,demolitions",5,2023
44,"jerusalem, jarrah,sheikh,east",5,2023
45,"biden, voters,trump,michigan",4,2023
46,"jerry, mcdonald,ice,cream",4,2023
47,"unrwa, funding,agency,refugees",3,2023
48,"exports, arms,canada,weapons",3,2023
49,"rights, human,un,albanese",3,2023
50,"prisoners, hunger,detention,administrative",2,2023
0,"houthis, houthi,sea,yemen",58,2024
1,"iran, iranian,syria,us",57,2024
2,"captives, hamas,release,hostages",52,2024
3,"africa, genocide,south,court",52,2024
4,"lebanon, hezbollah,lebanese,border",35,2024
5,"coverage, page,follow,closed",30,2024
6,"unrwa, funding,agency,refugees",29,2024
7,"hospital, patients,medical,hospitals",25,2024
8,"gaza, people,killed,younis",21,2024
9,"resolution, council,un,ceasefire",20,2024
10,"journalists, al,jazeera,dahdouh",19,2024
11,"2024, things,stand,march",18,2024
12,"bank, west,israeli,palestinian",18,2024
13,"biden, voters,trump,michigan",17,2024
14,"aid, food,famine,gaza",17,2024
15,"football, club,team,cup",14,2024
16,"exports, arms,canada,weapons",13,2024
17,"2024, things,stand,sunday",12,2024
18,"2024, things,stand,monday",12,2024
19,"brazil, lula,foreign,brazilian",12,2024
20,"aid, food,trucks,gaza",12,2024
21,"february, 2024,things,stand",12,2024
22,"faculty, cornell,university,staff",9,2024
23,"protesters, palestine,police,protest",8,2024
24,"labour, starmer,party,braverman",8,2024
25,"page, coverage,closed,live",7,2024
26,"settlements, west,bank,settlement",7,2024
27,"aqsa, mosque,compound,site",6,2024
28,"journalists, abc,media,coverage",5,2024
29,"german, germany,berlin,anti",5,2024
30,"coverage, page,live,closed",5,2024
31,"rights, human,un,albanese",4,2024
32,"updates, closed,page,live",4,2024
33,"prisoners, prison,prisoner,daqqa",4,2024
34,"presenter, guests,columnist,human",4,2024
35,"china, beijing,chinese,wang",4,2024
36,"church, christians,christian,christmas",4,2024
37,"economy, percent,economic,gaza",3,2024
38,"ai, technology,kill,civilians",3,2024
39,"contributors, journalist,director,editor",3,2024
40,"internet, communications,blackouts,services",2,2024
41,"erdogan, turkey,turkish,ankara",2,2024
42,"jerry, mcdonald,ice,cream",2,2024
43,"content, media,facebook,social",2,2024
44,"tlaib, congress,aipac,democratic",2,2024
45,"insightful, graphics,illustrated,perspectives",2,2024
46,"updates, closed,blog,page",2,2024
47,"prisoners, hunger,detention,administrative",1,2024
48,"jerusalem, jarrah,sheikh,east",1,2024
49,"march, jerusalem,police,city",1,2024
50,"russia, putin,moscow,russian",1,2024
51,"gaza, air,least,rockets",1,2024
52,"reconstruction, gaza,blockade,qatar",1,2024
